check in	في أنظمة إدارة النسخ: أَوْدَع يُودِع إِيدَاعًا (ج: إِيدَاعَات) فهو مُودِع، والأمر أَوْدِع، والمفعول أُودِع يُودَع فهو مُودَع.
clone	استَنسَخ يَستَنسِخ استِنساخا (ج: استِنساخات) فهو مُستَنسِخ، والأمر استَنسِخ، والمفعول اُستُنسِخ يُستَنسَخ فهو مُستَنسَخ.
commit	في أنظمة إدارة النسخ: أَوْدَع يُودِع إِيدَاعًا (ج: إِيدَاعَات) فهو مُودِع، والأمر أَوْدِع، والمفعول أُودِع يُودَع فهو مُودَع.
encrypt	عَمَّى يُعمِّي تَعْمِيَةً فهو مُعَمٍّ (المُعَمِّي)، والأمر عَمِّ، والمفعول عُمِّيَ يُعَمَّى فهو مُعَمَّى.
encryption	تَعْمِيَة.
federated	[صفة] اتِّحاديّ، اتِّحاديَّة.
federation	اتِّحاد (ج: اتِّحادات).
instance	نُسْخَة (ج: نُسَخ).
proxy	وَكيل (ج: وُكَلاء).
repository	مُسْتَوْدَع (ج: مُسْتَوْدَعَات).
